HPI,CCI_Lead3,CCI_Lead6,CCI_Lead9,CCI_Lead12,CCI_Lag3,CCI_Lag6,CCI_Lag9,CCI_Lag12,Creditloan,FCFI,HouseSt,HousePer,Unem,Newsales
1.406132257,0.719851577,0.769944341,0.721706865,0.729128015,0.525974026,0.525974026,0.538961039,0.551948052,1.43485601,1.792981421,0.523590334,0.457471264,1.328125,0.574842767
1.409672293,0.701298701,0.77458256,0.756957328,0.690166976,0.528756957,0.586270872,0.503710575,0.547309833,1.429799791,1.899587142,0.485040276,0.456321839,1.34375,0.462893082
1.413272637,0.620593692,0.794990724,0.806122449,0.640074212,0.569573284,0.527829314,0.532467532,0.627087199,1.418181422,1.915364199,0.498273878,0.464367816,1.390625,0.459119497
1.415518893,0.617810761,0.719851577,0.769944341,0.721706865,0.525974026,0.538961039,0.551948052,0.736549165,1.418357607,1.922146859,0.535673188,0.512068966,1.40625,0.470440252
1.416684599,0.602040816,0.701298701,0.77458256,0.756957328,0.586270872,0.503710575,0.547309833,0.770871985,1.425765599,1.932910646,0.527617952,0.510344828,1.453125,0.426415094
1.416411974,0.577922078,0.620593692,0.794990724,0.806122449,0.527829314,0.532467532,0.627087199,0.813543599,1.434260017,1.936154527,0.589758343,0.547701149,1.46875,0.483018868
1.412776633,0.525974026,0.617810761,0.719851577,0.769944341,0.538961039,0.551948052,0.736549165,0.811688312,1.446266298,1.940135653,0.518987342,0.524712644,1.5,0.465408805
1.410048451,0.528756957,0.602040816,0.701298701,0.77458256,0.503710575,0.547309833,0.770871985,0.825602968,1.447718727,1.844883515,0.670886076,0.6,1.53125,0.471698113
1.41016255,0.569573284,0.577922078,0.620593692,0.794990724,0.532467532,0.627087199,0.813543599,0.846011132,1.457680458,1.88307284,0.601841197,0.532183908,1.53125,0.511949686
1.412028732,0.525974026,0.525974026,0.617810761,0.719851577,0.551948052,0.736549165,0.811688312,0.845083488,1.468775511,1.818932468,0.658227848,0.598850575,1.578125,0.605031447
1.416288005,0.586270872,0.528756957,0.602040816,0.701298701,0.547309833,0.770871985,0.825602968,0.854359926,1.46784431,1.757151283,0.674913694,0.660344828,1.625,0.603773585
1.42355185,0.527829314,0.569573284,0.577922078,0.620593692,0.627087199,0.813543599,0.846011132,0.89703154,1.474156914,1.708787968,0.789413119,0.706321839,1.6875,0.696855346
1.432695503,0.538961039,0.525974026,0.525974026,0.617810761,0.736549165,0.811688312,0.845083488,0.961038961,1.506378199,1.6524624,0.749712313,0.776436782,1.6875,0.655345912
